출처,회사명,직무,이메일,URL
원티드,레이어바이레이어,"[레이어랩] 글로벌 마케팅 담당(아마존,큐텐,틱톡샵)",,https://www.wanted.co.kr/wd/366597
원티드,뉴트리원,일본 큐텐 MD (3년 이하),,https://www.wanted.co.kr/wd/360073
원티드,달링커뮤니케이션,JP향 퍼포먼스 마케터 (큐텐JP 싱글원 및 메타 셀프서버),,https://www.wanted.co.kr/wd/307954
원티드,제이디티씨,K-뷰티 아마존/큐텐/라쿠텐 등 글로벌 퍼포먼스 마케팅 리드급,,https://www.wanted.co.kr/wd/351056
원티드,안앤케이글로벌,해외영업팀 일본 큐텐 운영 MD,,https://www.wanted.co.kr/wd/349805
원티드,달링커뮤니케이션,【일본어우대】 일본향 퍼포먼스 마케터(큐텐 JP 싱글원 및 메타 셀프서버),,https://www.wanted.co.kr/wd/359347
사람인,(주)슬로우로켓,일본 큐텐(Qoo10) 채널운영관리 MD,help@saramin.co.kr,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54268240&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=8e2f5fde-8607-466d-9b51-96ad3a785e16
사람인,리메세(주),침착하고 집요한 글로벌 MD (Qoo10 Japan / eBay US·UK),help@saramin.co.kr,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54273274&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=8e2f5fde-8607-466d-9b51-96ad3a785e16
사람인,(주)데이지에스앤씨,일본 큐텐 정규직 전환형 인턴 채용,help@saramin.co.kr,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54158561&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=8e2f5fde-8607-466d-9b51-96ad3a785e16
사람인,(주)큰삼촌컴퍼니,패션 이커머스 온라인 MD - 일본 큐텐 상품운영·SNS마케팅,help@saramin.co.kr,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54093143&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=8e2f5fde-8607-466d-9b51-96ad3a785e16
사람인,(주)케이팝피버,주식회사 케이팝피버 오픈마켓운영 큐텐 일본,help@saramin.co.kr,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54270409&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=8e2f5fde-8607-466d-9b51-96ad3a785e16
사람인,(주)네오미래,[글로벌 뷰티 브랜드] B2C 해외영업 채용 (아마존/큐텐/쇼피),help@saramin.co.kr,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=54039983&location=ts&searchword=%ED%81%90%ED%85%90&searchType=search&paid_fl=n&search_uuid=8e2f5fde-8607-466d-9b51-96ad3a785e16
