level_1_category,level_2_category,level_3_category,level_4_category,store_name,company_name,contact_name,tel,mail,address,customer_center,productUrl
サプリ・ダイエット,ダイエット,,,韓国ドラッグストア yespharm,yespharm,PARK SI YEON,"=""+82-10-3142-0300""",qoo10_cs@yes-pharmacy.com,"11 Jeongja-ro 76beon-gil, Bundang-gu, Seongnam-si, Gyeonggi-do 403ho",,https://www.qoo10.jp/g/1133041985
サプリ・ダイエット,ダイエット,,,FOODOLOGY（フードオロジー）Qoo10公式ショップ,Adapt Inc.,HONG SEOKKYU,"=""+82-010-4827-3490""",adapt_japan1@adaptkorea.com,"534 Samseong-ro, Gangnam-gu, Seoul 4F, SAC ArtCenter2","お問い合わせはQoo10・ショップメッセージでいただいております。
応対可能な時間：平日10:00~18:00（昼休業：12時30分～13時45分）
メール：adapt_japan1@adaptkorea.com",https://www.qoo10.jp/g/1044342313
サプリ・ダイエット,ダイエット,,,Dalsim公式,"DS NATURE Co.,LTD",YANG HOON CHANG,"=""+81-?) 03-?) 1234-?)""",japan@dalsim.kr,"20 Sangmunuri-ro, Seo-gu, Gwangju 3F, DS NATURE",,https://www.qoo10.jp/g/969924158
サプリ・ダイエット,ダイエット,,,AMORE PACIFIC 公式ショップ,AMOREPACIFIC,AMOREPACIFIC,"=""+82-010-5334-6967""",amorepacific.jp@gmail.com,"NewMarket Business Team2, 8F AMOREPACIFIC, 100 Hangang-daero, Yongsan, Seoul","月~金: 午前 10時~午後5時
土日, 韓国の休日: 休業",https://www.qoo10.jp/g/954632059
サプリ・ダイエット,ダイエット,,,Dr. Choi’s Solution(ドクター·チョイス),"ELOOMBIO CO.,LTD",Dr. Choi's Solution,"=""+81-?) 03-?) 1234-?)""",albert@eloombio.com,"Gyeonggi-do Deogyang-gu, Goyang-si 1217ho, 83, Samwon-ro","月~金：午前 10時~午後 5時
土, 日、定休日：休務",https://www.qoo10.jp/g/1068293266
サプリ・ダイエット,ダイエット,,,TEAZEN 公式ショップ,TEAZEN INC.,TEAZEN,"=""+82-070-4914-8250""",teazen2303@gmail.com,"366 Hangang-daero, Yongsan-gu, Seoul Teazen, 5F","月~金: 午前 9時~午後 6時
土,日, 公休日: 休日",https://www.qoo10.jp/g/1036507122
サプリ・ダイエット,ダイエット,,,ANDO Official,Bestinnovation,Bestinnovation,"=""+81-?) 03-?) 1234-?)""",cs_jp@bestinnovation.co.kr,"130 Beonyeong-ro, Asan-si, Chungcheongnam-do Bestinnovation 2nd floor","月~金 : 09時~18時
土・日・祝日: 休業",https://www.qoo10.jp/g/895973491
サプリ・ダイエット,ダイエット,,,【公式】アイロ(ILO) by 東亜製薬,"DONGA PHARMACEUTICAL CO.,LTD.",Donga Pharmaceutical,"=""+82-010-7235-1707""",,"64 Cheonho-daero, Dongdaemun-gu, Seoul Donga Pharmaceutical",,https://www.qoo10.jp/g/1146070203
サプリ・ダイエット,ダイエット,,,Dr.Viuum公式_PRUMWELLNESS,"INNOVINEKOREA CO.,LTD.",yoonseonghwan,"=""+82-010-8500-7217""",innovinekorea@naver.com,"67-7 Nonhyeon-ro 149-gil, Gangnam-gu, Seoul Nonhyeon-dong, Myeongeun Building",,https://www.qoo10.jp/g/1060736853
サプリ・ダイエット,ダイエット,,,FULLight 公式,FNL corp,FNL corp,"=""+82-010-7680-1408""",jp@fnlcorp.kr,"246 Dangsan-ro, Yeongdeungpo-gu, Seoul eighth floor","平日：午前9時~午後5時
土日祝休み",https://www.qoo10.jp/g/1168888249
